transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
T,T,14947,6984,1,21760,1,0,21760,6984,14947,bf16_r,f32_r,f32_r,606619906
N,T,1234,9763,1,26443,1,0,1234,9763,1234,bf16_r,f32_r,f32_r,606630867
N,T,1327,9363,1,29986,1,0,1327,9363,1327,bf16_r,f32_r,f32_r,606605647
T,N,3541,265,1,26094,1,0,26094,26094,3541,bf16_r,f32_r,f32_r,606623130
T,T,7236,26977,1,8735,1,0,8735,26977,7236,bf16_r,f32_r,f32_r,606619906
T,N,6271,467,1,17054,1,0,17054,17054,6271,bf16_r,f32_r,f32_r,606603135
N,N,4823,2259,1,12989,1,0,4823,12989,4823,bf16_r,f32_r,f32_r,606630008
T,N,6888,178,1,10506,1,0,10506,10506,6888,bf16_r,f32_r,f32_r,606623168
T,N,477,13210,1,21591,1,0,21591,21591,477,f16_r,f32_r,f32_r,606604860
T,T,2052,2583,1,28886,1,0,28886,2583,2052,bf16_r,f32_r,f32_r,606619906
N,N,11917,5354,1,15085,1,0,11917,15085,11917,f16_r,f32_r,f32_r,606603423
N,T,1621,6190,1,25807,1,0,1621,6190,1621,bf16_r,f32_r,f32_r,606630827
T,N,4150,1619,1,9947,1,0,9947,9947,4150,bf16_r,f32_r,f32_r,606603135
T,N,573,569,1,9574,1,0,9574,9574,573,f32_r,f32_r,f32_r,606602149
T,T,13165,2028,1,17061,1,0,17061,2028,13165,bf16_r,f32_r,f32_r,606619906
T,T,245,26727,1,26089,1,0,26089,26727,245,f32_r,f32_r,f32_r,606620805
T,T,29622,2819,1,16543,1,0,16543,2819,29622,bf16_r,f32_r,f32_r,606619906
T,N,4206,1227,1,18691,1,0,18691,18691,4206,bf16_r,f32_r,f32_r,606603208
T,T,2726,13111,1,16249,1,0,16249,13111,2726,bf16_r,f32_r,f32_r,606619906
N,N,2328,2057,1,10565,1,0,2328,10565,2328,f32_r,f32_r,f32_r,606605061
T,T,10707,14230,1,12024,1,0,12024,14230,10707,bf16_r,f32_r,f32_r,606619906
N,T,2787,644,1,11723,1,0,2787,644,2787,f16_r,f32_r,f32_r,606603100
T,N,1773,3372,1,13225,1,0,13225,13225,1773,f16_r,f32_r,f32_r,606604841
N,N,15220,552,1,9923,1,0,15220,9923,15220,bf16_r,f32_r,f32_r,606629847
T,N,1331,2745,1,13788,1,0,13788,13788,1331,f32_r,f32_r,f32_r,606602197
T,T,246,31439,1,28589,1,0,28589,31439,246,f32_r,f32_r,f32_r,606620791
T,T,1090,1093,1,12272,1,0,12272,1093,1090,bf16_r,f32_r,f32_r,606619893
